카드명,설명,혜택1,혜택2,혜택3,세부혜택,교통,뷰티,영화,카페,쇼핑,편의점,배달,야구,도서,놀이공원/공연,ott,통신,합계,Cluster
신한카드 Way 체크(최고심),카드에 박힌 나.. 쫌 귀여울수도?,대중교통 최대 5% 적립,생활편의 최대 2% 적립,해외 이용금액 1.3% 적립,대중교통 이용시 적립(Way 체크) 생활편의영역 이용시 적립 해외 이용금액 적립 신한카드 Way 체크 유의사항 카드 디자인 Platinum ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
요기패스 신한카드 체크,끝이 없는 할인 구독 서비스,요기패스 최대 4천원 캐시백,요기요 서비스 건당 1천원 캐시백,OTT 정기 결제 건당 1천원 캐시백,"요기패스 구독비 캐시백 특화 서비스(요기요, 디지털 구독) 캐시백 ",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
신한카드 FANtastic S 체크(LoL),국내/해외 판타스틱한 혜택에 신한플레이 캐시백까지!,간편결제 15% 캐시백,쿠팡/티몬/CU/스벅 10% 캐시백,해외 이용액 1.2% 캐시백,간편결제 캐시백 소셜커머스 캐시백 편의점 캐시백 커피 캐시백 해외이용 캐시백 금리우대 서비스 통합 캐시백한도 Platinum ,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2
신한카드 FANtastic S 체크(DRX),카드는 원래 꺾이지 않는 거 알지?,간편결제 15% 캐시백,쿠팡/티몬/CU/스벅 10% 캐시백,해외 이용액 1.2% 캐시백,간편결제 캐시백 소셜커머스 캐시백 편의점 캐시백 커피 캐시백 해외이용 캐시백 금리우대 서비스 통합 캐시백한도 Platinum ,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2
LG트윈스 신한카드 체크,무적 LG! 끝까지 TWINS! 직관 할인과 실생활 혜택까지,LG트윈스 홈경기 티켓 3천원 할인,LG트윈스 용품 최대 10% 적립,"배달앱, 편의점 최대 5% 적립",LG트윈스 입장권 할인 LG트윈스 용품 구매 시 적립 배달앱 적립 편의점 적립 공통 유의사항 카드 디자인 ,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2
신한카드 On 체크(잔망루피),내 얼굴이 담긴 카드를 가지고 싶지 않니?,간편결제 최대 2% 적립,생활편의 최대 2% 적립,해외 이용금액 1.3% 적립,      ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GS Prime 신한카드 체크,전 가맹점에서 적립되는 GS&POINT!,GS리테일 점내 1% 적립,일반 가맹점 0.1% 적립,전월실적 적립한도 제한 없음,GS리테일 특별 적립 그 외 모든 가맹점 기본 적립 적립 서비스 유의사항 ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6
신한카드 봄(체크),Color your Spring,국내외 이용금액 최대 0.3% 캐시백,대중교통 일 최대 200원 캐시백,없음,기본 서비스 교통 서비스 공통 유의사항 ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
신한카드 플리(체크),전가맹점 혜택은 기본! 내 취향 가득 담은 나만의 플레이리스트,Daily 국내 이용금액 최대 0.3% 할인,Weekly 할인 쿠폰 월 2회 할인 쿠폰 제공,"Monthly 단골 적립 월 최대 3,000P 적립",Daily 할인 Weekly 할인 쿠폰 Monthly 단골 적립 공통 유의사항 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
신한카드 플리 체크(산리오캐릭터즈),전가맹점 혜택은 기본! 내 취향 가득 담은 나만의 플레이리스트,Daily 국내 이용금액 최대 0.3% 할인,Weekly 할인 쿠폰 월 2회 할인 쿠폰 제공,Monthly 단골 적립 월 최대 3천P 적립,    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
신한카드 On 체크,간편결제와 생활편의 영역까지!,간편결제 최대 2% 적립,생활편의 최대 2% 적립,해외 이용금액에 1.3% 적립,간편결제 이용시 적립(On 체크) 생활편의영역 이용시 적립 해외 이용금액 적립 신한카드 On 체크 유의사항 Platinum ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
신한카드 On 체크(쥬라기),간편결제와 생활편의 영역까지!,간편결제 최대 2% 적립,생활편의 최대 2% 적립,해외 이용금액에 1.3% 적립,간편결제 이용시 적립(On 체크) 생활편의영역 이용시 적립 해외 이용금액 적립 신한카드 On 체크 유의사항 Platinum ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
신한카드 Way 체크,대중교통과 생활편의 영역까지!,대중교통 최대 5% 적립,생활편의 최대 2% 적립,해외 이용금액에 1.3% 적립,대중교통 이용시 적립(Way 체크) 생활편의영역 이용시 적립 해외 이용금액 적립 신한카드 Way 체크 유의사항 Platinum ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
신한카드 Way 체크(쥬라기),대중교통과 생활편의 영역까지!,대중교통 최대 5% 적립,생활편의 최대 2% 적립,해외 이용금액에 1.3% 적립,대중교통 이용시 적립(Way 체크) 생활편의영역 이용시 적립 해외 이용금액 적립 신한카드 Way 체크 유의사항 Platinum ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
땡겨요 신한카드 체크,너도 살고 나도 사는 우리동네 배달앱 땡겨요,땡겨요앱 이용금액 포인트 10% 적립,스타벅스 이용금액 포인트 2% 적립,없음,땡겨요 앱 적립 스타벅스 적립 편의점 적립 통합적립한도 공통 유의사항 ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0
땡겨요 신한카드 체크(라이더형),너도 살고 나도 사는 우리동네 배달앱 땡겨요,전가맹점 포인트 0.2% 적립,주유소/편의점 0.2% 추가적립,없음,기본적립 추가적립 통합적립한도 공통 유의사항 ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6
투썸플레이스 신한카드 체크,"20% 캐시백, 사이즈업 쿠폰에 OTT 캐시백 혜택까지!",투썸플레이스 결제 20% 캐시백,투썸플레이스 혜택 사이즈업 쿠폰 제공,OTT 혜택 최대 2천원 캐시백,투썸플레이스 서비스 생활 서비스 공통유의사항 ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
아모레퍼시픽 신한카드 체크,체크카드도 뷰티포인트 적립 혜택을!,아모레퍼시픽 8% 적립,특화 가맹점 3% 적립,없음,아모레퍼시픽 8% 적립 특화 가맹점 3% 적립 공통 유의사항 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6
